compound,smiles,logP_exp,MW,LogP_rdkit,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters,SlogP_VSA3,PEOE_VSA1
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,4.88,202.25599999999997,4.584000000000002,0,0,0.0,0,4,4,16,70.14600000000003,0.0,0,666.6198058168793,10.535169427003233,7.932652990377569,8.11640192478581,2.732404740131078,93.45542159483816,0,-0.0026808061111411405,-0.06103258638098143,0,0.0,0.0
octane,CCCCCCCC,4.9,114.232,3.3668000000000022,0,0,0.0,5,0,0,8,39.05,1.0,0,25.019550008653873,6.242640687119286,3.914213562373095,8.0,7.0,53.293845828605804,0,-0.053316204543896704,-0.0653823832228023,0,0.0,0.0
decane,CCCCCCCCCC,5.98,142.286,4.147000000000004,0,0,0.0,7,0,0,10,48.28400000000003,1.0,0,40.0,7.6568542494923815,4.914213562373096,10.0,9.0,66.02373005739904,0,-0.053306146439862805,-0.06538238322279266,0,0.0,0.0
dodecane,CCCCCCCCCCCC,6.1,170.33999999999997,4.9272000000000045,0,0,0.0,9,0,0,12,57.51800000000005,1.0,0,56.43856189774725,9.071067811865477,5.914213562373096,12.0,11.0,78.75361428619225,0,-0.05330597417108836,-0.06538238322279266,0,0.0,0.0
hexadecane,CCCCCCCCCCCCCC,7.17,198.39399999999995,5.707400000000006,0,0,0.0,11,0,0,14,66.75200000000007,1.0,0,74.03910001730775,10.485281374238573,6.914213562373096,14.0,13.0,91.48349851498547,0,-0.05330597279437904,-0.06538238322279266,0,0.0,0.0
D-limonene,CC1=CCC(=CC1)C(C)=C,4.57,134.22199999999998,3.229000000000002,0,0,0.0,1,0,1,10,45.88800000000003,0.4,1,204.07820003461555,7.560477932315068,4.698377302757663,7.328459869848157,2.8694839561664094,62.94908980731702,0,-0.009539840068394439,-0.0958382287814418,0,0.0,0.0
alpha-pinene,CC1=CCC2CC1C2(C)C,4.83,136.238,2.9987000000000013,0,0,0.0,0,0,3,10,43.75200000000002,0.8,3,186.21499122004107,7.3533711511285205,4.621027033568037,6.450201165867344,1.6637425470500236,63.322464718156304,0,-0.014892219704730342,-0.08501290675016873,2,0.0,0.0
DDT,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.91,354.491,6.495500000000002,0,0,0.0,2,2,2,19,85.03700000000002,0.14285714285714285,0,494.04416142195936,14.043605595440512,8.876028663351637,15.282101252716993,6.1146915736885745,136.73471268876253,5,0.2008590133369853,-0.08434412664200656,0,0.0,0.0
lindane,ClC1CC(Cl)C(Cl)C(Cl)C1Cl,3.72,256.387,3.427100000000001,0,0,0.0,0,0,1,11,52.822000000000024,1.0,1,124.93433232624652,8.593858127134677,5.036581260209188,10.530321285140563,4.106267189924549,91.07446158069172,5,0.06915386606679026,-0.12128241643526211,4,0.0,0.0
chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.96,350.591,4.718100000000002,0,5,40.58,6,1,1,18,77.43200000000002,0.4444444444444444,0,464.6162368766505,13.759148545064338,8.414832660707775,16.44437737901033,7.246563253264823,125.74118203040851,9,0.38135594339529894,-0.4039620319976707,0,20.85435041206228,4.5237471617118175
testosterone,CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C,3.32,286.415,4.087400000000003,0,2,34.14,0,0,4,21,81.71700000000004,0.7894736842105263,4,545.7696078462164,14.828062645816686,9.949160848322622,13.722992950448893,4.301117858908269,126.91832564075487,2,0.15519729043722882,-0.2990872112439102,5,9.589074368143644,0.0
cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,8.74,386.6640000000002,7.388700000000009,1,1,20.23,5,0,4,28,119.05280000000009,0.9259259259259259,4,591.0697059458731,20.10408352775558,13.253691300962933,20.95200267376842,7.750696834249698,174.30905210803618,1,0.05774005746539304,-0.3927966848471336,8,0.0,5.106527394840706
benzophenone,O=C(c1ccccc1)c1ccccc1,3.18,182.222,2.917600000000001,0,1,17.07,2,2,2,14,56.316500000000026,0.0,0,376.003255415297,9.803118619434356,6.877010097711745,8.696948085233146,3.8789693771624525,83.01496154000138,1,0.1925196653354077,-0.2886159649049109,0,0.0,0.0
4-tert-butylphenol,CC(C)(C)c1ccc(O)cc1,3.31,150.22099999999998,2.689700000000001,1,1,20.23,0,1,1,11,46.80680000000004,0.4,0,228.04484428381983,8.483127663125444,4.999018565639891,8.119800399201598,2.571671007675518,67.6854053292794,1,0.11509554258901344,-0.5079666394035982,0,5.41499046939678,5.106527394840706
2-ethylhexanol,CCCCC(CC)CO,2.73,130.231,2.1951000000000005,1,1,20.23,5,0,0,9,40.3918,1.0,0,48.52932501298081,7.112884175122364,4.346065214951232,8.960000000000003,6.08562814070352,58.088079580801804,1,0.0458662459549641,-0.3960883514176953,1,0.0,5.106527394840706
dibutyl phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.72,278.348,3.600400000000003,0,4,52.60000000000001,8,1,1,20,76.82300000000005,0.5,0,398.85794216890986,14.794682450997078,9.701907262607799,16.215066079295156,9.125580158740503,119.63095892256436,4,0.33850596455259063,-0.4620783967394106,0,9.473725907600098,9.473725907600098
trichloroethylene,ClC(=CCl)Cl,2.42,131.389,2.5017000000000005,0,0,0.0,0,0,0,5,25.642,0.0,0,42.854752972273346,4.284457050376173,2.270055610029662,5.609999999999999,2.826919739696312,45.324388790686925,3,0.1176031867403948,-0.0903590844896965,0,0.0,0.0
hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.73,284.784,5.606999999999999,0,0,0.0,0,1,1,12,56.502,0.0,0,226.30309024251744,9.464101615137755,5.464101615137754,11.037160493827159,3.996461393295233,99.25100048078698,6,0.08095719062665294,-0.08095719062665294,0,0.0,0.0
benzo[a]pyrene,c1ccc2cc3ccc4cccc5ccc(c1)c2c3c45,5.97,252.31599999999997,5.737200000000003,0,0,0.0,0,5,5,20,87.65200000000004,0.0,0,1086.504969716024,13.10408352775558,9.915816237971967,10.21902349550179,3.486521567643158,116.13708612657337,0,-0.00145401708662077,-0.06162897874262152,0,0.0,0.0
chrysene,c1ccc2c(c1)ccc1ccc3ccccc3c12,5.81,228.29399999999998,5.146200000000003,0,0,0.0,0,4,4,18,78.96000000000005,0.0,0,801.7526221384024,11.949382989376328,8.932652990377573,9.66576917112106,3.5754525382851057,105.47639671470259,0,-0.002681858629672501,-0.06162898709108941,0,0.0,0.0
warfarin,OC(=O)CC(c1ccccc1)c1ccc(O)cc1,2.7,242.274,2.998800000000001,2,2,57.53,4,2,2,18,68.64460000000003,0.13333333333333333,0,517.1947945489237,12.957819157813608,8.664703797946448,12.174429825362497,5.361092663978125,105.33331327318662,3,0.30380537655390344,-0.5079666391622811,1,4.794537184071822,10.213054789681411
diclofenac,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.51,296.153,4.364100000000001,2,2,49.33,4,2,2,19,77.52650000000003,0.07142857142857142,0,593.8950014443018,13.828062645816686,9.07538740046941,13.715440199973633,5.9544053534163845,120.33053204396538,5,0.30739587692442316,-0.4809852135804913,0,11.21535880699783,10.423315998847038
naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,3.18,230.26299999999998,3.036500000000001,1,2,46.53,3,2,2,17,66.55080000000004,0.21428571428571427,0,560.3959195741091,12.41384908344359,8.113392202930193,11.455255502156714,4.454042614687935,99.64213719056528,3,0.31018572532324495,-0.4967451042461023,1,4.794537184071822,9.843390348640755
ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.12,254.285,3.1057000000000015,1,2,54.37,4,2,2,19,72.36730000000003,0.125,0,602.4009276194483,13.828062645816686,9.092224152875014,13.022119949627317,5.481743927766793,111.06554373543099,3,0.3101857384443935,-0.4807884998513802,1,4.794537184071822,5.106527394840706
estradiol,OC1CCc2cc(O)ccc2C3CCCC13,4.01,218.29599999999994,2.583,2,2,40.46,0,1,3,16,62.51660000000004,0.5714285714285714,2,399.72185684736263,11.120955864630139,7.754020195423489,10.154318570590219,3.774606541918884,95.9277452320034,2,0.11537063019208636,-0.5079560321480047,3,6.4208216229260096,10.213054789681411
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.87,314.46900000000005,4.723500000000005,0,2,34.14,1,0,4,23,90.88100000000006,0.8095238095238095,4,588.6489897976311,16.405412915006313,10.859844450845582,15.598585502468657,5.036596433775879,139.6482098695481,2,0.15519729043717378,-0.29969370556608593,6,9.589074368143644,0.0
menthol,CC(C)C1CCC(C)CC1O,3.4,156.269,2.439500000000001,1,1,20.23,1,0,1,11,47.34980000000002,1.0,1,120.04118472439221,8.430721420318147,5.109060905280621,9.05124087591241,3.5728285052475055,69.8121326560658,1,0.05729302557713654,-0.39282090888948124,3,0.0,5.106527394840706
camphor,CC1(C)C2CCC1(C)C(=O)C2,2.38,152.237,2.401700000000001,0,1,17.07,0,0,2,11,44.23600000000002,0.9,2,216.91266689075218,8.276020881938894,4.982998800364114,7.326147454014241,1.701311022684903,68.17358985038433,1,0.13909874627049695,-0.2990642887496957,2,4.794537184071822,0.0
linalool,CC(C)=CCCC(C)(O)C=C,2.97,154.253,2.6698000000000013,1,1,20.23,4,0,0,11,49.485800000000026,0.6,0,150.25571236699292,8.905777393935816,4.97716239121621,10.44,4.345263593221741,69.43875774522651,1,0.0799543275016631,-0.38609150256085306,1,0.0,5.106527394840706
